"matrix","time","row","col","value","sd","conf.low","conf.high","dates"
"beta",1970-01-02,0,0,1.68502549978673,0.0187326381949888,1.64831020358913,1.72174079598432,2021-12-15
"report_prob",1970-01-02,0,0,1,0,1,1,2021-12-15
"serop",1970-01-02,0,0,0.000317532701691453,1.08421435587429e-05,0.000296282490801104,0.000338782912581802,2021-12-15
"cases",1970-01-02,0,0,90.0385527002791,4.20279787898927,81.8012202231588,98.2758851773994,2021-12-15
"beta",1970-01-03,0,0,1.57988963540888,0.0143322126963424,1.55179901470528,1.60798025611248,2021-12-16
"report_prob",1970-01-03,0,0,1,0,1,1,2021-12-16
"serop",1970-01-03,0,0,0.000408166325617394,1.47163081211638e-05,0.000379322891714519,0.000437009759520269,2021-12-16
"cases",1970-01-03,0,0,113.135476917003,5.42656478257087,102.499605383391,123.771348450615,2021-12-16
"beta",1970-01-04,0,0,1.47766294075989,0.0103575177357315,1.45736257902862,1.49796330249116,2021-12-17
"report_prob",1970-01-04,0,0,1,0,1,1,2021-12-17
"serop",1970-01-04,0,0,0.000524221756387203,1.99029719717205e-05,0.000485212648137321,0.000563230864637085,2021-12-17
"cases",1970-01-04,0,0,140.211496717813,6.84439076329272,126.79673732564,153.626256109985,2021-12-17
"beta",1970-01-05,0,0,1.37887998468669,0.00687066579056983,1.36541372718736,1.39234624218602,2021-12-18
"report_prob",1970-01-05,0,0,1,0,1,1,2021-12-18
"serop",1970-01-05,0,0,0.000671453823897145,2.67198473171949e-05,0.000619083885483034,0.000723823762311256,2021-12-18
"cases",1970-01-05,0,0,171.574945301499,8.4540019880518,155.005405879687,188.144484723311,2021-12-18
"beta",1970-01-06,0,0,1.2839855162178,0.00405774012534665,1.2760324917135,1.2919385407221,2021-12-19
"report_prob",1970-01-06,0,0,1,0,1,1,2021-12-19
"serop",1970-01-06,0,0,0.000856121868906354,3.54961935172808e-05,0.00078655060802422,0.000925693129788489,2021-12-19
"cases",1970-01-06,0,0,207.365702153711,10.2357426984248,187.30401510978,227.427389197643,2021-12-19
"beta",1970-01-07,0,0,1.19333453605309,0.00268689172090565,1.18806832504976,1.19860074705642,2021-12-20
"report_prob",1970-01-07,0,0,1,0,1,1,2021-12-20
"serop",1970-01-07,0,0,0.00108500281062492,4.65668060953638e-05,0.000993733547802944,0.00117627207344689,2021-12-20
"cases",1970-01-07,0,0,247.567299703349,12.1549126176159,223.74410873759,271.390490669108,2021-12-20
"beta",1970-01-08,0,0,1.10719469032572,0.00356701397246148,1.10020347140734,1.11418590924409,2021-12-21
"report_prob",1970-01-08,0,0,1,0,1,1,2021-12-21
"serop",1970-01-08,0,0,0.00136529379849344,6.02571366527375e-05,0.00124719198084256,0.00148339561614431,2021-12-21
"cases",1970-01-08,0,0,292.000423605879,14.1630073240261,264.241439338011,319.759407873748,2021-12-21
"beta",1970-01-09,0,0,1.02575064942893,0.00523544101234105,1.01548937360156,1.0360119252563,2021-12-22
"report_prob",1970-01-09,0,0,1,0,1,1,2021-12-22
"serop",1970-01-09,0,0,0.00170444992433738,7.6864059627728e-05,0.00155379913576149,0.00185510071291327,2021-12-22
"cases",1970-01-09,0,0,340.317738339854,16.1996640006698,308.566980336891,372.068496342817,2021-12-22
"beta",1970-01-10,0,0,0.949110092928215,0.00684686470140313,0.935690484706446,0.962529701149984,2021-12-23
"report_prob",1970-01-10,0,0,1,0,1,1,2021-12-23
"serop",1970-01-10,0,0,0.00210997529503084,9.66345723514588e-05,0.00192057501356055,0.00229937557650113,2021-12-23
"cases",1970-01-10,0,0,392.006828327553,18.1957091348306,356.343893750119,427.669762904988,2021-12-23
"beta",1970-01-11,0,0,0.877310904014519,0.00823565861424659,0.861169309741628,0.893452498287409,2021-12-24
"report_prob",1970-01-11,0,0,1,0,1,1,2021-12-24
"serop",1970-01-11,0,0,0.00258918055469743,0.000119744388553137,0.00235448586578251,0.00282387524361234,2021-12-24
"cases",1970-01-11,0,0,446.403420343041,20.077212206192,407.052807508936,485.754033177145,2021-12-24
"beta",1970-01-12,0,0,0.810329181333818,0.00937603914417598,0.791952482293595,0.828705880374041,2021-12-25
"report_prob",1970-01-12,0,0,1,0,1,1,2021-12-25
"serop",1970-01-12,0,0,0.00314892071871689,0.000146278409873333,0.00286222030364937,0.00343562113378441,2021-12-25
"cases",1970-01-12,0,0,502.714824305783,21.7702142232655,460.045988492461,545.383660119105,2021-12-25
"beta",1970-01-13,0,0,0.748087698923744,0.0102766339586536,0.727945866482482,0.768229531365006,2021-12-26
"report_prob",1970-01-13,0,0,1,0,1,1,2021-12-26
"serop",1970-01-13,0,0,0.00379532897749779,0.000176215004652861,0.00344995391484263,0.00414070404015296,2021-12-26
"cases",1970-01-13,0,0,560.042549881813,23.2055731643294,514.560462239118,605.524637524508,2021-12-26
"beta",1970-01-14,0,0,0.690464482250721,0.0109571361476779,0.66898889002757,0.711940074473872,2021-12-27
"report_prob",1970-01-14,0,0,1,0,1,1,2021-12-27
"serop",1970-01-14,0,0,0.00453356320131165,0.000209415767968971,0.00412311583829767,0.00494401056432563,2021-12-27
"cases",1970-01-14,0,0,617.450896830016,24.323985513155,569.776761263759,665.125032396274,2021-12-27
"beta",1970-01-15,0,0,0.637301215538517,0.0114410972085493,0.614877077066138,0.659725354010895,2021-12-28
"report_prob",1970-01-15,0,0,1,0,1,1,2021-12-28
"serop",1970-01-15,0,0,0.00536758157584287,0.000245621973951642,0.00488617135308602,0.00584899179859972,2021-12-28
"cases",1970-01-15,0,0,673.97426143896,25.0795664254409,624.819214497216,723.129308380704,2021-12-28
"beta",1970-01-16,0,0,0.588411248380415,0.0117530233485966,0.565375745907708,0.611446750853123,2021-12-29
"report_prob",1970-01-16,0,0,1,0,1,1,2021-12-29
"serop",1970-01-16,0,0,0.00629996196757328,0.000284458310895854,0.00574243392311431,0.00685749001203225,2021-12-29
"cases",1970-01-16,0,0,728.67327957348,25.443002936646,678.805910159107,778.540648987853,2021-12-29
"beta",1970-01-17,0,0,0.543587024110837,0.0119169552271441,0.520230221060258,0.566943827161416,2021-12-30
"report_prob",1970-01-17,0,0,1,0,1,1,2021-12-30
"serop",1970-01-17,0,0,0.00733177641556495,0.000325443794482717,0.00669391829938677,0.00796963453174313,2021-12-30
"cases",1970-01-17,0,0,780.671974668303,25.4032741488894,730.882472247082,830.461477089523,2021-12-30
"beta",1970-01-18,0,0,0.502606805279444,0.0119556861417114,0.479174091031225,0.526039519527663,2021-12-31
"report_prob",1970-01-18,0,0,1,0,1,1,2021-12-31
"serop",1970-01-18,0,0,0.00846252794283068,0.000368009079894577,0.00774124340025359,0.00918381248540778,2021-12-31
"cases",1970-01-18,0,0,829.189836077401,24.968191631768,780.253079720041,878.12659243476,2021-12-31
"beta",1970-01-19,0,0,0.465240620265541,0.0118903137157783,0.441936033617733,0.488545206913349,2022-01-01
"report_prob",1970-01-19,0,0,1,0,1,1,2022-01-01
"serop",1970-01-19,0,0,0.00969015217426587,0.000411518828467743,0.00888359009150898,0.0104967142570228,2022-01-01
"cases",1970-01-19,0,0,873.566613413935,24.1639166740986,826.206207007274,920.927019820595,2022-01-01
"beta",1970-01-20,0,0,0.431255397812297,0.0117399944197665,0.408245431570853,0.45426536405374,2022-01-02
"report_prob",1970-01-20,0,0,1,0,1,1,2022-01-02
"serop",1970-01-20,0,0,0.0110110815732672,0.000455297395201443,0.0101187150764175,0.011903448070117,2022-01-02
"cases",1970-01-20,0,0,913.278774680809,23.0337683841229,868.133418219691,958.424131141927,2022-01-02
"beta",1970-01-21,0,0,0.400419292006794,0.0115218343432911,0.377836911658107,0.423001672355481,2022-01-03
"report_prob",1970-01-21,0,0,1,0,1,1,2022-01-03
"serop",1970-01-21,0,0,0.0124203659518762,0.000498655924575266,0.0114430182990312,0.0133977136047212,2022-01-03
"cases",1970-01-21,0,0,947.947489372869,21.636750106904,905.540238420844,990.354740324894,2022-01-03
"beta",1970-01-22,0,0,0.372505228590405,0.0112508761654891,0.350453916511526,0.394556540669284,2022-01-04
"report_prob",1970-01-22,0,0,1,0,1,1,2022-01-04
"serop",1970-01-22,0,0,0.0139118396424947,0.000540918974379489,0.0128516579341566,0.0149720213508329,2022-01-04
"cases",1970-01-22,0,0,977.338721180355,20.0462857941072,938.048723000108,1016.6287193606,2022-01-04
"beta",1970-01-23,0,0,0.347293724592003,0.0109401547746207,0.325851415248453,0.368736033935554,2022-01-05
"report_prob",1970-01-23,0,0,1,0,1,1,2022-01-05
"serop",1970-01-23,0,0,0.0154783235650335,0.000581449001796203,0.0143387044626662,0.0166179426674009,2022-01-05
"cases",1970-01-23,0,0,1001.35653759861,18.3496313302957,965.39192106164,1037.32115413557,2022-01-05
"beta",1970-01-24,0,0,0.324575047668007,0.0106008008772325,0.303797859741351,0.345352235594663,2022-01-06
"report_prob",1970-01-24,0,0,1,0,1,1,2022-01-06
"serop",1970-01-24,0,0,0.0171118494452119,0.000619667393555021,0.0158973236714503,0.0183263752189736,2022-01-06
"cases",1970-01-24,0,0,1020.03105878721,16.6481585429715,987.401267634077,1052.66084994035,2022-01-06
"beta",1970-01-25,0,0,0.304150790008268,0.0102421764273536,0.28407649308735,0.324225086929186,2022-01-07
"report_prob",1970-01-25,0,0,1,0,1,1,2022-01-07
"serop",1970-01-25,0,0,0.0188038935602749,0.000655071144026127,0.0175199777106722,0.0200878094098775,2022-01-07
"cases",1970-01-25,0,0,1033.50258930096,15.0577968826908,1003.98984972437,1063.01532887756,2022-01-07
"beta",1970-01-26,0,0,0.285834935172272,0.00987202907637486,0.266486113728245,0.305183756616299,2022-01-08
"report_prob",1970-01-26,0,0,1,0,1,1,2022-01-08
"serop",1970-01-26,0,0,0.0205456084247549,0.00068724472403646,0.0191986335170783,0.0218925833324315,2022-01-08
"cases",1970-01-26,0,0,1042.00343608403,13.7066396672296,1015.13891598719,1068.86795618087,2022-01-08
"beta",1970-01-27,0,0,0.269454495750919,0.00949665560792436,0.250841392785806,0.288067598716031,2022-01-09
"report_prob",1970-01-27,0,0,1,0,1,1,2022-01-09
"serop",1970-01-27,0,0,0.0223280425358788,0.000715867090434522,0.0209249688209097,0.023731116250848,2022-01-09
"cases",1970-01-27,0,0,1045.83875698551,12.7230789204598,1020.90198052895,1070.77553344207,2022-01-09
"beta",1970-01-28,0,0,0.254849796271415,0.00912106668219359,0.236972834073727,0.272726758469103,2022-01-10
"report_prob",1970-01-28,0,0,1,0,1,1,2022-01-10
"serop",1970-01-28,0,0,0.0241423404105104,0.000740714127114143,0.0226905673985266,0.0255941134224941,2022-01-10
"cases",1970-01-28,0,0,1045.3675507092,12.20753866679,1021.44121458241,1069.29388683599,2022-01-10
"beta",1970-01-29,0,0,0.241874470159769,0.00874914725027894,0.224726456653784,0.259022483665753,2022-01-11
"report_prob",1970-01-29,0,0,1,0,1,1,2022-01-11
"serop",1970-01-29,0,0,0.0259799174128276,0.000761657062591636,0.0244870970015774,0.0274727378240778,2022-01-11
"cases",1970-01-29,0,0,1040.98463197318,12.1947775992674,1017.08330707914,1064.88595686722,2022-01-11
"beta",1970-01-30,0,0,0.230395232613927,0.00838380874633106,0.213963269417846,0.246827195810007,2022-01-12
"report_prob",1970-01-30,0,0,1,0,1,1,2022-01-12
"serop",1970-01-30,0,0,0.0278326060834282,0.00077865757153609,0.0263064652869281,0.0293587468799284,2022-01-12
"cases",1970-01-30,0,0,1033.10416707085,12.6363734281527,1008.33733025647,1057.87100388523,2022-01-12
"beta",1970-01-31,0,0,0.220291483555774,0.00802713064799788,0.204558596586501,0.236024370525048,2022-01-13
"report_prob",1970-01-31,0,0,1,0,1,1,2022-01-13
