"Beta_0","Beta_2","Beta_3","Beta_4","gamma_a","sigma","death_rate","hosp_rate","mu","xi1","xi2","xi3","disp","kappa1","kappa2","kappa3","eta1","eta2","eta3","phi1","phi2","phi3","theta1","theta2","theta3","omega1","omega2","omega3","lambda1","lambda2","lambda3","tau","zeta","v2","v3","S1_0","E1_0","A1_0","I1_0","R1_0","H1_0","C1_0","D1_0","V2_0","E2_0","A2_0","I2_0","R2_0","H2_0","C2_0","D2_0","V3_0","E3_0","A3_0","I3_0","R3_0","H3_0","C3_0","D3_0","loglik","loglik.se"
0.364935918704525,0.797436558123896,0.734355649548099,0.529654567019311,0.0714285714285714,0.35,0.795227614535004,0.00427920695448958,0.6,0.15,0.15,0.15,0.732195598826916,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1530.75176505587,0.785632880022629
0.321038814485996,0.77357754904448,0.72744755107696,0.519294011781708,0.0714285714285714,0.35,0.798048477011972,0.00438872059580857,0.6,0.15,0.15,0.15,0.737031687311906,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1531.01593869795,2.53834210371469
0.339481038578888,0.77347643156448,0.734597308048231,0.488041180473577,0.0714285714285714,0.35,0.796785365682261,0.00440658972793965,0.6,0.15,0.15,0.15,0.737850487967684,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1530.90736562608,0.721285315489646
0.31969581995683,0.72993189112896,0.7279659348512,0.494812803193727,0.0714285714285714,0.35,0.794728336996939,0.0037840477610658,0.6,0.15,0.15,0.15,0.733967445210683,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1545.08039209444,2.68922029098924
