"day","date","daily_serop","daily_serop_increment","daily_serop_q025","daily_serop_q975","cases","hosp","death","cum_cases","cum_case_per_capita","daily_case_increment","cum_case_per_capita_q025","cum_case_per_capita_q975","underreporting_factor","daily_underrep_q025","daily_underrep_q975","est_inci_case","est_inci_serop"
113,2022-01-21,0.0437063111539501,0.000763835492861978,0.0288234203984233,0.0585892019094768,300,4,1,12937,0.0253393399275291,0.000587601606111057,0.0212500713677005,0.0294286084873578,1.72484016075205,-0.651843618754558,4.10152394025865,517,389
114,2022-01-22,0.0444923371632192,0.00078602600926915,0.0296094464076924,0.059375227918746,309,6,4,13246,0.0259445695818235,0.000605229654294388,0.0218553010219949,0.0300338381416522,1.71489979908513,-0.661783980421477,4.09158357859173,529,401
115,2022-01-23,0.045301191107048,0.00080885394382877,0.0304183003515212,0.0601840818625748,352,1,0,13598,0.0266340221329938,0.000689452551170307,0.0225447535731652,0.0307232906928225,1.70087682892362,-0.675806950582985,4.07756060843022,598,412
116,2022-01-24,0.0461335104035883,0.000832319296540304,0.0312506196480615,0.0610164011591151,289,1,1,13887,0.0272000783468808,0.000566056213886983,0.0231108097870522,0.0312893469067094,1.69608005591935,-0.680603723587253,4.07276383542595,490,424
117,2022-01-25,0.0469899324709925,0.000856422067404251,0.0321070417154658,0.0618728232265193,277,3,3,14164,0.0277426304965234,0.000542552149642543,0.0236533619366947,0.031831899056352,1.69378071329181,-0.682903066214789,4.07046449279842,469,437
118,2022-01-26,0.0478710947274128,0.000881162256420299,0.0329882039718861,0.0627539854829396,378,2,1,14542,0.0284830085202233,0.000740378023699931,0.0243937399603947,0.0325722770800519,1.68068954841704,-0.69599423108956,4.05737332792364,635,449
119,2022-01-27,0.0487776345910013,0.000906539863588463,0.0338947438354745,0.0636605253465281,323,4,1,14865,0.0291156595828029,0.000632651062579571,0.0250263910229742,0.0332049281426315,1.67530584193984,-0.701377937566763,4.05198962144644,541,462
120,2022-01-28,0.0497102127729449,0.000932578181943623,0.0348273220174182,0.0645931035284717,218,3,2,15083,0.0295426500832436,0.000426990500440701,0.0254533815234149,0.0336319186430722,1.68265922768859,-0.694024551818011,4.05934300719519,366,476
121,2022-01-29,0.0506695831565689,0.000959370383623939,0.0357866924010421,0.0655524739120956,181,2,3,15264,0.0298971697189306,0.000354519635687004,0.0258079011591019,0.0339864382787592,1.69479531450382,-0.681888465002787,4.07147909401042,306,489
122,2022-01-30,0.0516565229182331,0.000986939761664245,0.0367736321627063,0.0665394136737599,215,2,0,15479,0.0303182842033102,0.000421114484379589,0.0262290156434815,0.0344075527631388,1.70380759583332,-0.672876183673285,4.08049137533992,366,503
123,2022-01-31,0.0526718092342976,0.00101528631606445,0.0377889184787708,0.0675546999898243,161,5,1,15640,0.0306336303985898,0.000315346195279603,0.0265443618387611,0.0347228989584184,1.71941126627689,-0.657272513229709,4.0960950457835,276,518
124,2022-02-01,0.0537162192811222,0.0010444100468246,0.0388333285255954,0.0685991100366489,232,2,1,15872,0.0310880423073156,0.000454411908725885,0.026998773747487,0.0351773108671443,1.72787397643504,-0.648809803071565,4.10455775594164,400,533
125,2022-02-02,0.0547905302350668,0.00107431095394463,0.03990763947954,0.0696734209905936,212,2,1,16084,0.0315032807756341,0.00041523846831848,0.0274140122158055,0.0355925493354628,1.73920077166833,-0.637483007838277,4.11588455117493,368,548
126,2022-02-03,0.0558955192724915,0.00110498903742472,0.0410126285169648,0.0707784100280183,226,1,3,16310,0.0319459406522378,0.000442659876603663,0.0278566720924091,0.0360352092120664,1.74969082554081,-0.626992953965797,4.12637460504741,395,564
127,2022-02-04,0.0570319817571726,0.00113646248468106,0.0421490910016458,0.0719148725126994,268,1,0,16578,0.032470864753697,0.000524924101459212,0.0283815961938684,0.0365601333135256,1.75640477054678,-0.620279008959826,4.13308855005338,470,580
128,2022-02-05,0.058200785802552,0.00116880404537944,0.0433178950470253,0.0730836765580788,71,2,0,16649,0.0326099304671433,0.000139065713446282,0.0285206619073146,0.0366991990269719,1.78475651339377,-0.591927266112829,4.16144029290038,126,596
129,2022-02-06,0.0594028177094885,0.00120203190693642,0.0445199269539617,0.0742857084650152,188,2,1,16837,0.0329781608069729,0.000368230339829592,0.0288888922471442,0.0370674293668015,1.80127745926111,-0.575406320245491,4.17796123876771,338,613
130,2022-02-07,0.0606389637788402,0.00123614606935172,0.0457560730233134,0.0755218545343669,162,0,0,16999,0.0332954656742728,0.000317304867299972,0.0292061971144442,0.0373847342341015,1.82123789383416,-0.555445885672445,4.19792167334076,295,631
131,2022-02-08,0.0619101103114657,0.00127114653262553,0.0470272195559389,0.0767930010669925,300,3,3,17299,0.0338830672803839,0.000587601606111057,0.0297937987205553,0.0379723358402125,1.82716959474645,-0.549514184760154,4.20385337425305,548,648
132,2022-02-09,0.0632171436082238,0.00130703329675805,0.048334252852697,0.0781000343637505,204,3,1,17503,0.0342826363725394,0.000399569092155522,0.0301933678127108,0.0383719049323681,1.84399889557097,-0.532684883935636,4.22068267507757,376,667
133,2022-02-10,0.0645609499699725,0.00134380636174879,0.0496780592144458,0.0794438407254993,292,2,1,17795,0.0348545686024875,0.000571932229948093,0.0307653000426589,0.0389438371623161,1.85229519568247,-0.524388583824137,4.22897897518907,540,686
134,2022-02-11,0.0659424203134586,0.00138147034348607,0.0510595295579318,0.0808253110689854,205,2,0,18000,0.0352560963666634,0.000401527764175888,0.0311668278068348,0.039345364926492,1.87038348283535,-0.506300296671253,4.24706726234195,383,705
135,2022-02-12,0.0673624640189802,0.00142004370552162,0.0524795732634535,0.082245354774507,265,6,2,18265,0.0357751444520615,0.000519048085398099,0.0316858758922329,0.0398644130118901,1.88294037803944,-0.493743401467163,4.25962415754604,498,725
136,2022-02-13,0.0688219950827237,0.00145953106374343,0.0539391043271969,0.0837048858382504,167,1,0,18432,0.0361022426794633,0.000327098227401824,0.0320129741196347,0.040191511239292,1.90630802894339,-0.470375750563213,4.28299180844999,318,745
137,2022-02-14,0.0703219275008751,0.00149993241815148,0.0554390367453484,0.0852048182564019,181,1,0,18613,0.0364567623151503,0.000354519635687001,0.0323674937553217,0.040546030874979,1.92891312983247,-0.44777064967413,4.30559690933907,349,765
138,2022-02-15,0.071863175269621,0.00154124776874583,0.0569802845140942,0.0867460660251477,169,1,1,18782,0.0367877778865929,0.000331015571442564,0.0326985093267643,0.0408770464464215,1.95345246160712,-0.42323131789948,4.33013624111373,330,786
139,2022-02-16,0.0734466523851473,0.00158347711552637,0.0585637616296206,0.0883295431406741,306,2,1,19088,0.0373871315248262,0.000599353638233276,0.0332978629649975,0.0414764000846548,1.9644901705384,-0.412193608968203,4.341173950045,601,808
140,2022-02-17,0.0750732728436405,0.00162662045849318,0.0601903820881137,0.0899561635991673,231,5,1,19319,0.0378395847615317,0.000452453236705515,0.033750316201703,0.0419288533213603,1.98398775559401,-0.392696023912593,4.36067153510061,458,830
