"Beta_0","Beta_2","Beta_3","Beta_4","gamma_a","sigma","death_rate","hosp_rate","mu","xi1","xi2","xi3","disp","kappa1","kappa2","kappa3","eta1","eta2","eta3","phi1","phi2","phi3","theta1","theta2","theta3","omega1","omega2","omega3","lambda1","lambda2","lambda3","tau","zeta","v2","v3","S1_0","E1_0","A1_0","I1_0","R1_0","H1_0","C1_0","D1_0","V2_0","E2_0","A2_0","I2_0","R2_0","H2_0","C2_0","D2_0","V3_0","E3_0","A3_0","I3_0","R3_0","H3_0","C3_0","D3_0","loglik","loglik.se"
0.341782646506554,0.761242871460527,0.738747259511605,0.500975566640094,0.0714285714285714,0.35,0.798490797170985,0.00411994967965795,0.6,0.15,0.15,0.15,0.736642740840856,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1536.62073794346,0.410391624905458
0.261498715036409,0.796400096506029,0.727072915209722,0.530734371034641,0.0714285714285714,0.35,0.796344238837045,0.00393834770850218,0.6,0.15,0.15,0.15,0.741194867526405,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1523.9391803451,0.923380673952298
0.440609690582422,0.812699329018996,0.728804273463233,0.503987409403032,0.0714285714285714,0.35,0.799156877547498,0.00365639056587503,0.6,0.15,0.15,0.15,0.739451697369725,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1526.64292788069,0.782807685439615
0.308347146035393,0.799375169408313,0.730710109343099,0.540735905399143,0.0714285714285714,0.35,0.799737843059379,0.00406685215975764,0.6,0.15,0.15,0.15,0.738569991139281,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1525.01209870988,0.792671788107531
