"Beta_0","Beta_2","Beta_3","Beta_4","gamma_a","sigma","death_rate","hosp_rate","mu","xi1","xi2","xi3","disp","kappa1","kappa2","kappa3","eta1","eta2","eta3","phi1","phi2","phi3","theta1","theta2","theta3","omega1","omega2","omega3","lambda1","lambda2","lambda3","tau","zeta","v2","v3","S1_0","E1_0","A1_0","I1_0","R1_0","H1_0","C1_0","D1_0","V2_0","E2_0","A2_0","I2_0","R2_0","H2_0","C2_0","D2_0","V3_0","E3_0","A3_0","I3_0","R3_0","H3_0","C3_0","D3_0","loglik","loglik.se"
0.336381694013716,0.769542383519999,0.737363629546827,0.669603444345583,0.0714285714285714,0.35,0.800837378735488,0.00388784043377095,0.6,0.15,0.15,0.15,0.73432725373826,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1533.44907216601,2.20069293672582
0.298988849290376,0.799299452138041,0.735149540910623,0.687343425557471,0.0714285714285714,0.35,0.799020200319545,0.00407378020986349,0.6,0.15,0.15,0.15,0.730032040342299,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1532.06392365004,0.56347835813042
0.314638933362211,0.773966692834028,0.733946075696181,0.689077759943399,0.0714285714285714,0.35,0.797196771768271,0.0041570475615815,0.6,0.15,0.15,0.15,0.732831975592257,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1536.26856824808,0.30477819012088
0.317858409391683,0.805283275491908,0.731589643237204,0.685178515478718,0.0714285714285714,0.35,0.795014804045059,0.00420772275521506,0.6,0.15,0.15,0.15,0.731148355366696,1,0.91,0.3,0.181818181818182,0.181818181818182,0.181818181818182,0.2,0.2,0.2,0.007,0.005,0.0025,0.142857142857143,0.142857142857143,0.142857142857143,0.25,0.156,0.15,0.799,0.75,0.2828,0.1359,73896,438,10,10,4918,0,0,0,139266,438,10,10,4918,0,0,0,281265,438,10,5,4918,0,0,0,-1530.28704766757,2.44197475283927
